school,avgscrwrite,phone
Liberty Family Academy,,
North Monterey County Community Day,,
Big Sur Charter School,,(831) 324-4573
Pinnacles High,,(831) 678-6301
Frank Ledesma Elementary,,(831) 678-6320
Jack Franscioni Elementary,,(831) 678-6340
Soledad Preschool Center,,(831) 678-1496
Soledad Transition Center,,(831) 678-8373
Pinnacles High (Cont.),,
Soledad High,428.0,(831) 678-6400
Chalone High,,
Soledad Adult,,(831) 678-1279
Rose Ferrero Elementary,,(831) 678-6480
Somavia High,,(831) 675-1081
Gonzales Evening High,,(831) 675-0100
Gonzales High,425.0,(831) 675-2495
Fairview Middle,,(831) 675-3704
La Gloria Elementary,,(831) 675-3663
Community Day,,
Napa County Opportunity,,(707) 253-6817
Juvenile Hall,,
Wintun School,,
Jefferson Children's Center,,
St. Helena Children's Center,,
Napa Childrens' Center,,
Development Center for Handica,,
Napa County Multihandicapped S,,
Alta Heights Children's Center,,
Lincoln Children's Center,,
Heritage Ranch,,
Hill and Valley Infant Center,,
Hill and Valley Teen Parent Pr,,
Westwood Children's Center,,
Napa County Community School,,
Harvest Middle,,(707) 259-8866
Napa Valley Independent Studies,,(707) 259-8577
Stone Bridge,,(707) 252-5522
Canyon Oaks Elementary,,(707) 265-2363
American Canyon High,470.0,(707) 265-2710
Legacy High,,(707) 265-2710
Napa Opportunity Classes,,
Napa Valley Alternative Education,,
New Technology High,500.0,(707) 259-8557
Bridges,,
Horizons,,
Valley Oak High,,(707) 253-3791
Dee T. Davis Elementary,,
Lincoln Elementary,,
Soda Canyon Elementary,,
Ridgeview Junior High,,
Opportunity School,,
River Charter,,(707) 253-6813
American Canyon Middle,,(707) 259-8592
Intermediate Safe Place,,
Primary Safe Place,,
Archways Community Day,,
Steps to Success,,
Steps to Success,,
Napa Evening College,,
Monticello Elementary,,
Saint Helena Primary,,(707) 967-2772
Los Angeles Education Corps Charter,,
Nevada County Academy of Learning,,
Twin Ridges Home Study Charter,,
Forest Charter,,
Bitney College Preparatory High,482.0,(530) 477-1235
Yuba River Charter,,(530) 265-6060
Nevada City School of the Arts,,(530) 273-7736
Sierra Montessori Academy,,(530) 268-9990
Earle Jamieson Educational Options,,(530) 272-5464
"Sugarloaf Mountain, Juvenile Hall Program",,(530) 272-5464
Inspire,,
Edge Academy,,
Forest Charter,508.0,(530) 265-4823
Twin Ridges Home Study Charter,,(530) 478-1815
EPIC de Cesar Chavez,,(661) 822-4381
Juvenile Hall Community,,
'3R' Middle,,
Nevada County Academy of Learning High,,
John Muir Charter Schools,,(530) 272-4008
Gold Flat Special,,
Reward School (TMR),,
Seven Hills EMR,,
"Milhous Ranch, Inc. Vocational",,
Nevada County School for the A,,
Nevada County Development Cent,,
Sugarloaf Mountain School,,
3R Middle Community,,
3 R Community Day,,
Washington Ridge Youth Conservation Camp,,
Chicago Park Community Charter,,(530) 346-2153
Grass Valley 3-R Community Day,,
Grass Valley Preschool,,(530) 273-9528
Bell Hill Academy,,(530) 273-2281
Grass Valley Charter,,(530) 273-8723
Lyman Gilmore Community Day,,
GVSD Elementary Community Day,,
Nevada City 3-R Community Day,,
Nevada City Preschool,,(530) 265-1890
Nevada City School of the Arts (Char),,
Nevada City Charter,,(530) 265-1885
Nevada City Early Learning Ctr (Char),,
Reward Mine Community Day,,
William & Marian Ghidotti High,576.0,(530) 274-5270
Sierra Academy of Expeditionary Learning,,(530) 268-2200
Providence High,,
Sierra Foothill High (Continuation),,
Nevada Adult,,(530) 272-2643
Sierra Mountain High,,
Pleasant Ridge Community Day,,
Pleasant Ridge Charter,,
Pleasant Ridge Special Education Preschool,,(530) 268-2800
Pleasant Ridge Un. Elem. Alter. Ed.,,
Pleasant Valley 3R Community Day,,
Penn Valley Community Day,,
Union Hill 3R Community Day,,
Union Hill Middle,,(530) 273-8456
Union Hill Charter Home,,
Highland Oaks Elementary,,
Twin Ridges 3R Community Day,,
Sierra Montessori,,
Twin Ridges Special Education Preschool,,(530) 265-9052
Oak Tree,,
Twin Ridges Home Study Charter,,
Nevada City School of the Arts,,
Yuba River Charter,,
Village,,
Woodlands Charter,,
River Oak Charter,,
Golden Valley Charter,,
Bitney Springs Charter High,,
Maria Montessori Charter Academy,,
Napa Valley Charter,,
Forest Charter,,
Cherokee Elementary,,
North San Juan Elementary,,
Grizzly Hill,,
North Columbia Elementary,,
Oak Tree,,
Birchville Elementary,,
Grizzly Hill,,
Ready Springs Special Education Preschool,,
Penn Valley Union Special Education Preschool,,(530) 432-7311
Williams Ranch Elementary,,(530) 432-7300
Vantage Point Charter,,(530) 432-5312
Samueli Academy,,(714) 619-0245
Vista Heritage Charter Middle,,(714) 988-2719
College and Career Preparatory Academy,,(714) 547-9986
Oxford Preparatory Academy - Saddleback Valley,,(949) 916-5672
Unity Middle College High,,(714) 642-6624
USC College Prep Santa Ana Campus,,(213) 454-0599
Orange County Academy of Sciences and Arts,,(949) 606-4937
Epic Charter School,,(657) 220-1000
Scholarship Prep,,(714) 795-3498
Orange County Workforce Innovation High,,(714) 576-2714
Secondary Hearing Impaired,,
Horizon High School,,
Alternative/Opportunity,,
OCCS:CHEP/PCHS,528.0,(714) 327-1000
Chapman Lyceum Community Day,,
Summit Community Day,,
Orange/Tustin Academy Community Day,,
Capistrano Union High,,
Joplin High,,
Los Pinos High,,
David R. McMillan,,
Rio Contiguo,,
Mark Twain Special Center,,
Anaheim Development Center,,
Otto A. Fischer,,
Portrero Junior High,,
Fullerton Development Center F,,
Educational Assessment Center,,
J.P. Greeley Day,,
Orange County Superintendent O,,
Knott Autistic and Multihandic,,
Westminster Development Center,,
Irvine Attention Deficit Disorder,,
Gill Education Center,,
Lyon (William),,
Crest Community Day,,
Hope Special Center,,
Mark Twain Special Cente,,
Tamura Autistic Program,,
Wallace Special Center,,
Huntington Beach Special Cente,,
Loma Vista MH,,
Summit Community Day,,
George Key Center,,
Venado Hearing Impaired,,
Richard Henry Dana Special Cen,,
Peterson Special Classes,,
Medical Facility Programs,,
Fred Moiola Special Classes,,
De Portola Special Center,,
Independent Study,,
Orange Grove Elementary,,(714) 517-8968
Ponderosa Elementary,,(714) 517-8926
Key (Francis Scott),,
GOALS Academy,,(714) 563-2890
Washington Elementary,,
Olive Street Elementary,,(714) 517-8920
Westmont Elementary,,(714) 517-8965
Anaheim Elementary Opportunity,,
Community Day/Alternative Education/Special Education,,
Polaris Opportunity Day,,
Nova Evening High,,
Gilbert West High,,
Trident Continuation High,,
Anaheim Adult,,
Oxford Academy,634.0,(714) 220-3055
Apollo Junior High,,
Fremont Junior High,,
La Palma Junior High,,
Crescent Junior High,,
Oxford Junior High,,
Trident Junior High,,
Brea-Olinda Alternative Educ. Prog.,,
Lindbergh (Charles A.) Element,,
McComber (Charles L.) Intermed,,
J. B. Sullivan Elementary,,
Canyon Vista Elementary,,(949) 234-5941
Vista del Mar Elementary,,(949) 234-5950
Vista del Mar Middle,,(949) 234-5955
Ladera Ranch Elementary,,(949) 234-5915
Ladera Ranch Middle,,(949) 234-5922
Capistrano Connections Academy,512.0,(949) 461-1667
Oso Grande Elementary,,(949) 234-5966
Arroyo Vista Middle,,(949) 234-5951
Capistrano Virtual/Home,,(949) 234-9374
San Juan Hills High,534.0,(949) 234-5900
Carl Hankey Middle,,(949) 234-5315
Community Roots Academy,,(949) 831-4272
California Preparatory Academy,,(949) 234-5317
Oxford Preparatory Academy - South Orange County,,(949) 305-6111
Fresh Start Independent Study,,
Aliso Niguel High,548.0,(949) 831-5590
Tesoro High,545.0,(949) 234-5310
Bridges Community Day,,(949) 234-5302
Capistrano Intermediate,,
Dana (Richard Henry) MH,,
Home Teaching,,
Arroyo Vista Elementary,,(949) 234-5951
Foxborough Elementary,,
Aliso Viejo Middle,,(949) 831-2622
Bathgate Elementary,,(949) 348-0451
Hidden Hills Elementary,,(949) 495-0050
Clarence Lobo Elementary,,(949) 366-6740
John Malcom Elementary,,(949) 248-0542
Wood Canyon Elementary,,(949) 448-0012
Colinas Middle School for Alternative Study,,
Oak Grove Elementary,,(949) 360-9001
Las Flores Elementary,,(949) 589-6935
Wagon Wheel Elementary,,(949) 589-1953
Bernice Ayer Middle,,(949) 366-9607
Don Juan Avila Elementary,,(949) 349-9452
Don Juan Avila Middle,,(949) 362-0348
Las Flores Middle,,(949) 589-6543
Kinoshita Elementary,,(949) 489-2131
Tijeras Creek Elementary,,(949) 234-5300
Journey,,(949) 448-7232
Chaparral Elementary,,(949) 234-5349
Marblehead Elementary,,(949) 234-5339
Laguna Niguel Elementary,,(949) 234-5308
Opportunities for Learning - Capistrano,,(949) 248-1282
Mira Linda Elementary,,
Oro Grande Elementary,,
Cypress Elementary,,
MacKay (Daniel T.) Elementary,,
Arevalos (Andres R.) Elementary,,
Nieblas (Arthur D.) Elementary,,
Fountain Valley Elementary,,
Harper (James O.) Elementary,,
Bushard (John B.) Middle,,
McDowell (John C.) Elementary,,
Wardlow (Robert B.) Elementary,,
Lamb (William D.) Elementary,,
Robert C. Fisler Elementary,,(714) 447-2890
Beechwood Elementary,,(714) 447-2850
Ford Avenue Elementary,,
Maple Community Center,,
Wilshire Junior High,,
Woodcrest Special Education Un,,
Maple Elementary,,(714) 447-7590
Fullerton Evening High School,,
Lowell High,,
Endeavor School,,
Early Childhood Education Center - Carver Campus,,(714) 663-6177
Garden Grove Evening High Scho,,
Lake High,,
Hettinga Elementary,,
Brookhurst Elementary,,(714) 663-6556
Chapman Junior High,,
Izaak Walton Intermediate,,(714) 663-6040
John C. Fremont Elem.,,
Lincoln Ed. Tr. Center,,
Linton T. Simmons Elementary,,(714) 663-6096
Ocia A. Peters Elementary,,(714) 663-6085
Skylark Elementary,,
Mendenhall (Warren O.) Special Education,,
Jordan Secondary Learning Center,,(714) 663-6486
Kinetic Academy,,(714) 313-0362
Lebard (Lois and Harry) Elemen,,
John R. Peterson Elementary,,(714) 378-1515
Gisler (Ernest H.) Middle,,
Burke (Robert H.) Elementary,,
Clapp (Jack K.) (Special Educa,,
Huntington Seacliff Elementary,,(714) 841-7081
Guidance Center,,
Huntington Beach Homebound,,
Evening High,,
HBUHSD Community Day,,
Laguna Beach Continuation,,
Aliso Elementary,,
Arbolita Elementary,,(562) 690-2352
Tierra Rica Elementary,,
Valencia Elementary,,
Juliette Low,,(714) 533-2673
Early College High,478.0,(714) 241-6108
Harper,,(949) 515-6632
Orange Coast Middle College High,,
Abraham Lincoln Elementary,,(949) 515-6955
Balearic Elementary,,
Bay View Elementary,,
Bear Street Elementary,,
Marion Parsons Special Educati,,
Clara McNally TMR,,
Corona del Mar Elementary,,
Everett A. Rea Elementary,,(949) 515-6905
Harper Elementary,,
Lindbergh Elementary,,
Maude B. Davis Elementary,,(714) 424-7930
Mesa Verde Elementary,,
Monte Vista Elementary,,
Presidio Elem.,,
Victoria Elementary,,(949) 515-6985
Woodland Elementary,,
Eastbluff Elementary,,(949) 515-5920
Newport Coast Elementary,,(949) 515-6975
Maple Avenue Christian Element,,
North Orange County Comm. Coll,,
North Orange County J.C./Dist.,,
Pleasant View,,(714) 845-5000
Crest View Elementary,,
Glen View Elementary,,
Haven View Elementary,,
Lark View Elementary,,
Meadow View Elementary,,
Pleasant View Elementary,,
Rancho View Elementary,,
Robinwood Elementary,,
Park View Elementary,,
Nueva View (Special Ed),,
Orange Unified Pre-K SDC,,(714) 997-6202
OUSD Community Day,,(714) 628-5479
OUSD Home Sch,,(714) 628-5479
Orange Unified Alternative Education,,
ROP-Career Education,,(714) 628-5464
California Charter Academy of Orange County,,
Heim Elementary,,
Katella Elementary,,
Killefer Elementary,,
Olive Elementary,,(714) 637-8218
Parkside Elementary,,
McPherson Magnet,,(714) 997-6384
Peralta Junior High,,
Vista del Rio Junior High,,
Esl Skill Center,,
Canyon Rim Elementary,,(714) 532-7027
Running Springs Elementary,,(714) 281-4512
Melrose Elementary,,(714) 986-7220
Lakeview Elementary,,(714) 986-7190
Valadez Middle School Academy,,(714) 986-7440
Yorba Linda High,543.0,(714) 986-7500
"Primavera (Sh,Sed)",,
Placentia Unified Alternative Education,,
Placentia-Yorba Linda Adult Education,,
Estuary (Community Day),,
Orchard Drive Elementary,,
William M. McFadden Elementary,,
Parkview,,(714) 986-7050
Irvine Elementary,,
Edward B. Cole Academy,,(714) 836-9023
Nova Academy,448.0,(714) 569-0948
Segerstrom High,463.0,(714) 241-5000
Manuel Esqueda Elementary,,(714) 431-1500
Orange County Educational Arts Academy,,(714) 558-2787
Hector G. Godinez,433.0,(714) 433-6790
Heroes Elementary,,(714) 558-5501
Mitchell Child Development,,(714) 430-5600
Advanced Learning Academy,,(714) 480-4300
Teen Parent Program (Alter),,
Home Instruction,,
Cesar E. Chavez High,,(714) 430-5700
Santa Ana Unified Adult Transition,,(714) 571-4401
Middle College High,483.0,(714) 953-3900
OCSA,582.0,(714) 560-9000
Albor Charter,,
Rancho Santiago-Continuing Edu,,
Franklin Elementary,,
McKinley Elem.,,
Muir Elem.,,
Spurgeon Elementary,,
Diamond Elementary-Annex,,
Taft Hearing Impaired,,
Margaret S. Grant Elementary,,
District Office Programs,,
George Washington Carver Elementary,,(714) 564-2000
Martin R. Heninger Elementary,,(714) 953-3800
Walker Elementary,,(714) 647-2800
Martin Luther King Jr. Elementary,,(714) 972-6000
Wallace R. Davis Elementary,,(714) 564-2200
REACH Academy,,(714) 796-9000
Raymond A. Villa Fundamental Intermediate,,(714) 558-5100
Lydia Romero-Cruz Elementary,,(714) 564-8000
Jim Thorpe Fundamental,,(714) 430-5800
Gonzalo Felicitas Mendez Fundamental Intermediate,,(714) 972-7800
El Sol Santa Ana Science and Arts Academy,,(714) 543-0023
Santa Ana Elementary Arts Academy,,
Gerald S. Bash Christian,,
Perez (Mary) Elementary,,
Savanna Elementary,,
McGaugh (J.H.),,
Zoeter (Mary E.) Elementary,,
John F. Land,,(714) 894-7344
Ada Clegg Elementary,,(714) 894-7218
Cook Elementary,,
Gill Elementary,,
Jessie Hayden Elementary,,(714) 894-7261
Midway City Elementary,,
Willmore Elementary,,(714) 895-3765
Seventeenth Street Elementary,,
Franklin Elementary,,
Boos Elementary,,
Land Elementary,,
Westminster Community Day,,
Westminster Lutheran Kdgn.,,
Paine (Mabel M.) Elementary,,
Nixon (Richard) Elementary,,
Rose Drive Elementary,,
Yorba Linda Middle,,
Linda Vista,,
La Tierra Early Childhood Center,,(949) 707-5276
Silverado Continuation High,,
Lake Forest Elementary,,(949) 830-9945
Portola Hills Elementary,,(949) 459-9370
Rancho Santa Margarita Intermediate,,(949) 459-8253
Robinson Elementary,,(949) 589-2446
Foothill Ranch Elementary,,(949) 470-4885
Melinda Heights Elementary,,(949) 888-7311
Arnold O. Beckman High,572.0,(714) 734-2900
Hicks Canyon Elementary,,(714) 734-1878
Orchard Hills,,(714) 430-2078
Tustin Connect Center,,(714) 730-7395
Heritage Elementary,,(714) 430-2066
Sycamore High (Alternative),,(714) 730-7394
Del Norte Elementary,,
Guin Foss Elementary,,(714) 730-7552
Los Cerritos Elementary,,
Morrow (Mildred) Elementary,,
Red Hill Elementary,,(714) 730-7543
Barbara Benson Elementary,,(714) 730-7531
Wallace (Gladys) Elementary,,
Tustin Ranch Elementary,,(714) 730-7580
Peters Canyon Elementary,,(714) 730-7540
Pioneer Middle,,(714) 730-7534
Ladera Elementary,,(714) 730-7505
Myford Elementary,,(714) 734-1875
Irvine Adult Transition Programs,,(949) 936-7400
Early Childhood Learning Center,,(949) 936-5857
Irvine Unified - Other Special Programs,,
Jeffrey Trail Middle,,(949) 936-5000
Cypress Village Elementary,,(949) 936-5000
Portola Springs Elementary,,(949) 936-8800
Beacon Park,,(949) 936-5000
Portola High,,(949) 936-5000
Irvine Adult Education,,
Northwood High,621.0,(949) 936-7200
Irvine Community Day,,
El Toro Marine Elementary,,
Woodbridge Community Center,,
South Lake Middle,,(949) 936-6700
Canyon View Elementary,,(949) 936-6900
Plaza Vista,,(949) 936-6955
Oak Creek Elementary,,(949) 936-8550
Storm Center for Teenagers (In,,
Alpha Home for Boys,,
Annette Crawford Home for Girl,,
Jack L. Weaver Elementary,,(562) 799-4580
Richard Henry Lee Elementary,,(562) 799-4540
Jefferson (Thomas) Elementary,,
Oak Middle,,(562) 799-4740
Magnolia Science Academy Santa Ana,,(714) 557-7004
Sierra Vista,,(916) 415-4400
iLearn Academy,,
CORE Placer Charter,,(530) 346-8340
Placer County Pathways Charter,,(530) 745-1440
Placer County Community Schools,,(530) 745-1440
Juvenile Hall Treatment Center,,
Newcastle School for Exception,,
Secret Ravine (TMR),,
Pineview (TMR),,
Bowman Charter,,
Emigrant Gap Elementary,,
Alta Vista Community Charter,,(530) 745-1220
Lincoln Way Elementary,,
Auburn Elementary,,(530) 887-1958
Barrett Ranch Elementary,,(916) 770-8839
Creekview Ranch Middle,,
Creekview Ranch,,(916) 770-8845
Antelope Crossing Middle,,(916) 745-2100
Quail Glen Elementary,,(916) 771-2055
Olive Grove Elementary,,(916) 727-7400
Silverado Middle,,(916) 780-2620
Coyote Ridge Elementary,,(916) 774-8282
Olive Ranch,,
Ridgeview Elementary,,(916) 791-3477
Olympus Junior High,,(916) 782-1667
Maidu Elementary,,(916) 789-7910
Excelsior Elementary,,(916) 780-2701
Milestones Cooperative Charter,,
Loomis Basin Charter,,(916) 652-2642
John Adams Academy,576.0,(916) 780-6800
H. Clarke Powers Elementary,,(916) 652-2635
Newcastle Charter,,(916) 663-3307
Creekside Charter,,(530) 581-1036
Harvest Ridge Cooperative Charter/Placer Academy,,(916) 259-1425
Newcastle Virtual Learning Academy,,
Squaw Valley Preparatory,,(530) 581-1036
Rocklin Academy Gateway,,(916) 778-4550
California Pacific Charter Schools-Newcastle (CalPac-Newcastle),,
Weimar Hills Charter,,
Sierra Hills Arts and Sciences Charter Academy,,
Sierra Hills Elementary,,(530) 878-9473
Foresthill High,490.0,(530) 367-5244
Special Education Day Class,,
Day Treatment Center At de Witt,,
Parker Whitney Elementary,,
Rocklin Elementary,,
Spring View Elem.,,
Thomas Jefferson Elementary,,(916) 771-1840
Blue Oaks Elementary,,(916) 771-1700
Junction Elementary,,(916) 771-1860
Barbara Chilton Middle,,(916) 771-1870
Fiddyment Farm,,(916) 771-1880
Success High,,
Diamond Creek Elementary,,(916) 771-1760
Stoneridge Elementary,,(916) 771-1830
Vernon Street Elementary,,
Vencil Brown Elementary,,(916) 771-1710
George A. Buljan Middle,,(916) 771-1720
Catheryn Gates Elementary,,(916) 771-1780
Robert C. Cooley Middle,,(916) 771-1740
Antelope High,469.0,(916) 726-1400
Woodcreek High,501.0,(916) 771-6565
Granite Bay High,551.0,(916) 786-8676
Opportunity,,
Alder Creek Middle,,(530) 582-2750
Sierra Expeditionary Learning,,(530) 414-5326
Cold Stream Alternative,,(530) 582-2640
Prosser Creek Charter,,
Glenshire Elementary,,(530) 582-7675
Twelve Bridges Elementary,,(916) 434-5220
Foskett Ranch Elementary,,(916) 434-5255
Twelve Bridges Middle,,(916) 434-5270
Lincoln Crossing Elementary,,(916) 434-5292
Partnerships for Student-Centered Learning,,(916) 408-5200
Horizon Charter,456.0,(916) 408-5200
Edwards (Glen) Lower Elementar,,
Mary Beermann Elem.,,
Valley View Elementary,,
First Street,,(916) 645-6330
Ruhkala Elementary,,(916) 632-6560
Whitney High,502.0,(916) 632-6500
Rocklin Academy at Meyers Street,,(916) 632-6580
Maria Montessori Charter Academy,,(916) 630-1510
Western Sierra Collegiate Academy,547.0,(916) 778-4544
Sunset Ranch Elementary,,(916) 624-2048
Rocklin Independent Charter Academy,,(916) 632-3195
Rocklin High,527.0,(916) 632-1600
Victory High,,(916) 632-3195
Rocklin Alternative Education Center,,
Antelope Creek Elementary,,(916) 632-1095
Breen Elementary,,(916) 632-1155
Twin Oaks Elementary,,(916) 624-4101
Granite Oaks Middle,,(916) 315-9009
Rocklin Academy,,(916) 632-6580
Valley View Elementary,,(916) 435-4844
Sierra Elementary,,(916) 788-7141
Rock Creek Elementary,,(916) 788-4282
Plumas County Community,,(530) 283-6500
Plumas County Opportunity,,(530) 283-6500
Juvenile Hall/Community,,
Quincy Community Day,,
Plumas County Special Educatio,,
Portola Opportunity,,(530) 283-6500
Plumas Alternative Education,,
Plumas Charter,,(530) 283-3851
Indian Jim Elementary,,
Meadow Valley Elem.,,
Quincy Special Day School (MH),,
Laport Elementary,,
Wolf Creek Middle,,
Plumas Community Day,,
River Springs Charter,478.0,(951) 252-8800
Preschool Grasp,,(951) 683-0112
Riverside County Education Academy,,(951) 826-6602
"Imagine Schools, Riverside County",,(760) 391-9200
Come Back Kids,,(951) 826-6461
Gateway College and Career Academy,,(951) 222-8931
Riverside County Education Academy - Indio,,(760) 863-3111
San Cayetano High,,
Esperanza/Teen Mothers,,
Jurupa Junior High Special Edu,,
Raymond Cree Middle School,,
Indio Juvenile Hall,,
Desert Edge High,,
Indio Charter,,
Twin Pines High,,
F. H. Butterfield,,
Hospital (Eh),,
Grindstaff Development Center,,
Riverside Motivational Center,,
Mid-County Development Center,,
Development Center-East,,
Glen Avon South,,
La Cranada Elementary School,,
Foothill Special School,,
Callison Education Center,,
Nuview North School,,
Ina Arbuckle School,,
Lincoln Special School,,
Kokell Special Education,,
Vista del Monte Special Education,,
Palm Springs Special Education,,
Washington (George) Special Education,,
Little Lake Special Education,,
Hemet Special Education,,
San Jacinto,,
Elsinore Special Education,,
Temecula Special Education,,
Perris Jr. High Special Education,,
Perris Elementary Special Education,,
Good Hope Special Education,,
Moreno Valley Special Education,,
Arnold Heights Special Education,,
La Sierra Special Education,,
Norte Vista Special Education,,
Hoffer Special Education,,
Coombs Special Education,,
Child Help Village Special Education,,
Summit Special Education,,
Palm Special Education,,
Raymond Cree Special Education,,
Rosemary Kennedy Special Education,,
Glenview School,,
Katherine Finchy Special Education,,
Hemet (Sed),,
Calif Rehab Center (Corona-Nor,,
Casa Blanca Preschool,,
Hemet State Preschool,,
Phillip M. Stokoe Elementary,,(951) 358-1640
Lake Hills Elementary,,(951) 358-1620
Alvord Alternative Education Center,,
Hillcrest High,,(951) 358-1755
Alvord Alternative Continuation High,,(951) 509-6021
Summit Elementary,,(951) 509-5159
Summit Secondary,,(951) 509-5159
Alvord Motivation Center,,
Motivation and Opportunity Cen,,
Alvord Community Day,,
Pupil Personnel Center,,
Rosemary Kennedy Elementary,,(951) 358-1655
Ysmael Villegas Middle,,(951) 358-1695
Whitewater Junior/Senior High,,
San Gorgonio Childcare,,
Renu Hope Preschool,,(951) 922-8181
Florida Street Discovery Center,,(951) 849-2739
Banning PreK,,(951) 922-0210
St. John'S,,
Banning Independent Study,,(951) 922-0268
Nicolet Middle,,(951) 922-0280
Sundance Elementary,,(951) 845-2621
Brookside Elementary,,(951) 845-3473
San Gorgonio Middle,,(951) 769-4391
El Paseo Alternative Learning Center,,
Tournament Hills Elementary,,(951) 769-0711
Beaumont USD Preschool,,(951) 845-3473
Anna Hause Elementary,,(951) 769-1674
Highland Academy,,(951) 266-0220
21st Century Learning Institute,,(951) 769-8424
Laura May Stewart Performance,,
Glen View High,,(951) 845-1133
Beaumont Adult,,(951) 845-6012
Three Rings Ranch Elementary,,(951) 845-5052
Community Day,,
Beaumont Preschool,,
American Boys Ranch,,
El Cerrito Middle,,(951) 736-3216
Clara Barton Elementary,,(951) 736-4545
Temescal Valley Elementary,,(951) 736-7110
Dwight D. Eisenhower Elementary,,(951) 739-5960
Harada Elementary,,(951) 739-6820
Orange Grove High,,(951) 736-3339
Eleanor Roosevelt High,486.0,(951) 738-2100
River Heights Intermediate,,(951) 738-2155
Eastvale Elementary,,(951) 738-2180
John F. Kennedy High,497.0,(951) 738-2200
Dr. Bernice Jameson Todd Academy,,(951) 736-7035
Rosa Parks Elementary,,(951) 736-7305
Louis VanderMolen Fundamental Elementary,,(951) 739-7120
Dr. Augustine Ramirez Intermediate,,(951) 736-8241
Ronald Reagan Elementary,,(951) 736-8250
Corona-Norco Alternative,,(951) 736-3367
Lee V. Pollard High,,(951) 736-3367
Centennial Vista High,,
Corona Vista High,,(951) 736-3394
Norco Vista High,,
Santiago High,499.0,(951) 739-5600
Phoenix High,,
California Hope Charter Academy,,
Eastvale Elementary,,
Corona/Norco Special Schools,,
William McKinley Elementary,,(951) 736-7190
Susan B. Anthony Elementary,,(951) 739-5655
Cesar Chavez Academy,,(951) 736-4640
Benjamin Franklin Elementary,,(951) 739-5645
Citrus Hills Intermediate,,(951) 736-4600
Woodrow Wilson Elementary,,(951) 739-5820
Corona Ranch Elementary,,(951) 736-4626
Orange Elementary,,(951) 736-3455
Desert Center High,,
Eagle Mountain High,,
Desert Center Elem.,,
Kaiser Middle,,
Dr. Reynaldo J. Carreon Jr. Academy,,(760) 863-1544
Benjamin Franklin Elementary,,(760) 238-9424
Carrillo Ranch Elementary,,(760) 238-9700
Ronald Reagan Elementary,,(760) 772-0456
Colonel Mitchell Paige Middle,,(760) 238-9710
Summit High (Continuation),,(760) 238-9760
Shadow Hills High,434.0,(760) 393-5400
Desert Ridge Academy,,(760) 393-5500
John Adams Early Childhood Learning Center,,(760) 777-4260
La Quinta High,462.0,(760) 772-4150
Horizon,,(760) 238-9720
Desert Sands Adult,,(760) 863-3693
Adams (John) Elementary,,
James Earl Carter Elementary,,(760) 862-4370
John Adams Elementary,,
Lyndon B. Johnson Elementary,,(760) 863-3680
John Glenn Middle School of International Studies,,(760) 200-3700
Amelia Earhart Elementary School of International Studies,,(760) 200-3720
Elsinore Elementary,,
Machado Elementary,,
Wildomar Elementary,,
Butterfield Elementary School,,
Hayman (Jean) Elementary School,,
Railroad Canyon School,,
Withrow Elementary,,
Ortega High,,
Elsinore Adult,,
Temecula Valley High,,
Temescal Canyon High,,
Elsinore High,,
Elsinore Junior High,,
Terra Cotta Junior High,,
Terra Cotta Junior High,,
McSweeny Elementary,,(951) 925-4366
Harmony Elementary,,(951) 791-1830
Cawston Elementary,,(951) 765-0277
Diamond Valley Middle,,(951) 925-2899
Hamilton High,481.0,(951) 763-1865
Hamilton Elementary,,(951) 763-1840
Family Tree Learning Center,,(951) 765-5193
Tahquitz High,445.0,(951) 765-6300
Hemet Academy for Applied Academics and Technology,,
Rancho Viejo Middle,,(951) 765-6287
Western Center Academy,,(951) 766-9030
College Prep High,463.0,(951) 925-5155
Aspire Community Day,,(951) 765-5188
Hi-Lo Alternative,,
Hemet Educational Learning Center,,
Idyllwild Charter High,,
Alamos Elementary,,
Hamilton Elementary,,
Santa Fe Middle,,
Alessandro Elementary,,
Bautista Creek Elementary,,(951) 927-0822
Dartmouth Middle,,(951) 765-2550
Jacob Wiens Elementary,,(951) 929-3734
Hemet State Preschool,,
Patriot High,463.0,(951) 361-6500
Jurupa Unified School District Pre-K School Readiness Center,,(951) 222-7850
Rivercrest Preparatory,,(951) 360-2660
Rio Vista High,,
Steps Community Day,,(951) 222-7739
Granite Hill Elementary,,(951) 360-2725
Stone Avenue Elementary,,(951) 360-2859
Mira Loma Middle,,(951) 360-2883
Peralta Elementary,,(951) 222-7701
Freedom Crest Elementary,,(951) 679-5285
Oak Meadows Elementary,,(951) 246-4210
Santa Rosa Academy,503.0,(951) 672-2400
Evans Ranch Elementary,,(951) 246-7690
Menifee Preschool,,(951) 672-6478
Southshore Elementary,,(951) 672-0013
Quail Valley Elementary,,(951) 244-1937
Hans Christensen Middle,,(951) 679-8356
Herk Bouris Elementary,,(951) 244-7657
Harvest Hill S.T.E.A.M. Academy,,(951) 325-6000
Callie Kirkpatrick Elementary,,(951) 672-6420
Ridgemoor Elementary,,(951) 672-6450
Bell Mountain Middle,,(951) 301-8496
TownGate Elementary,,(951) 571-4700
Alessandro,,(951) 571-4510
La Jolla Elementary,,(951) 571-4740
Moreno Valley Online Academy,,(951) 571-4800
Moreno Valley Community Learning Center,,(951) 571-7895
Bayside Community Day,,(951) 571-7890
